SNo.,date,startup,vertical,subvertical,city,investors,round,amount,year,month,investors_clean
1457,2016-08-18,Meesho,E Commerce,Mobile Based Ecommerce Saas Platform,Bangalore,"Kashyap Deorah, Rajul Garg, Maninder Gulati",Seed Funding,0.0,2016,8,"Kashyap Deorah, Rajul Garg, Maninder Gulati"
1458,2016-08-18,Sesame Software,Technology,Financial Technology Solutions Provider,Kozhikode,Speridian Technologies,Private Equity,0.0,2016,8,Speridian Technologies
1459,2016-08-19,Quikr,Consumer Internet,Classified Listings Platform,Mumbai,Brand Capital,Private Equity,170.0,2016,8,Brand Capital
1460,2016-08-19,Digio,Technology,Aadhar Based Document Signing Platform,Bangalore,Rainmatter,Private Equity,3.1875,2016,8,Rainmatter
1461,2016-08-19,Ziffity,Technology,Full Service Ecommerce Agency,Chennai,Aspire Systems,Private Equity,0.0,2016,8,Aspire Systems
1462,2016-08-22,Zzungry,Consumer Internet,Food Delivery Platform,Bangalore,"Satish Vasudeva, Madhusudhan Jujare & Others",Seed Funding,0.0,2016,8,"Satish Vasudeva, Madhusudhan Jujare, Undisclosed Investors"
1463,2016-08-22,Puro Wellness,healthcare,"Organic, Natural Food Substitute Manufacturer",Mumbai,Torrent Group,Private Equity,314.5,2016,8,Torrent Group
1464,2016-08-22,Fitternity,Consumer Internet,Fitness Gym & Services Discovery Platform,Mumbai,"Saha Fund, Exfinity Venture Partners & Others",Private Equity,0.0,2016,8,"Saha Fund, Exfinity Venture Partners, Undisclosed Investors"
1465,2016-08-23,Tac Security,Technology,Cyber-Security Solutions Provider,New Delhi,Vijay Kedia,Seed Funding,0.0,2016,8,Vijay Kedia
1466,2016-08-23,Notesgen,Consumer Internet,Online Notes Sharing Portal,New Delhi,"Riju Gupta, Kamal Chabra",Seed Funding,0.85,2016,8,"Riju Gupta, Kamal Chabra"
1467,2016-08-23,Nearu,Consumer Internet,Marketing App For Retailers,Mumbai,Dr. Goutam Challagalla,Seed Funding,0.0,2016,8,Dr. Goutam Challagalla
